BUY Recommendation,as on,23.06.2026,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Stock,Current Price,Target,% Down from BUY,Strategy,List Name,Market Cap (Cr)
POLYMED,1650,3351.91,-35.55,Super strategy,Good200,16744.12
RAJESHEXPO,107.49,189,-31.55,Super strategy,Good45,3173.75
RAJESHEXPO,107.49,237.88,-42.74,Super strategy,Good45,3173.75
RAJESHEXPO,107.49,218.9,-30.7,Super strategy,Good45,3173.75
RATNAMANI,2740.4,3345,-0.71,Super strategy,Good200,19208.01
SHARDACROP,887.8,1223.7,-11.99,Super strategy,Good200,8009.78
SHARDAMOTR,825.75,1248,-19.55,Super strategy,Good200,4740.44
SHARDAMOTR,825.75,2896.97,-65.01,Super strategy,Good200,4740.44
SHARDAMOTR,825.75,2569.9,-53.4,Super strategy,Good200,4740.44
SHARDAMOTR,825.75,1016.7,-0.27,Super strategy,Good200,4740.44
SIYSIL,621.6,1130.31,-24.33,Super strategy,Good200,2820.2
SIYSIL,621.6,1000.16,-22.49,Super strategy,Good200,2820.2
SYMPHONY,692.55,1454.71,-40.94,Super strategy,Good45,4755.84
TASTYBITE,8338.5,10737.11,-5.74,Super strategy,Good45,2139.66
TASTYBITE,8338.5,15177.93,-15.32,Super strategy,Good45,2139.66
TATAELXSI,4076.1,5770.08,-12.67,Super strategy,Good200,25392.91
TATAELXSI,4076.1,8820.26,-39.36,Super strategy,Good200,25392.91
TEAMLEASE,1446.1,3478,-49.34,Super strategy,Good45,2424.25
TIMETECHNO,178.37,230.64,-6.15,Super strategy,Good200,8804.97
TRENT,3142.9,6805.71,-40.29,Super strategy,Good45,167589.58
UJJIVANSFB,56.07,68,-0.97,Super strategy,Good45,10907.05
VIPIND,311.95,426.1,-8.52,Super strategy,Good45,4431.31
VIPIND,311.95,435,-13.77,Super strategy,Good45,4431.31
VOLTAMP,10572,14414.35,-9.37,Super strategy,Good200,10695.82
WAAREERTL,983.25,1326.6,-6.71,Super strategy,Good200,10259.8
WAAREERTL,983.25,1267.9,-0.18,Super strategy,Good200,10259.8
WHIRLPOOL,805.45,1400,-29.46,Super strategy,Super45,10222.8
WHIRLPOOL,805.45,1616.8,-0.37,67 ka Funda,Super 45,10222.8
SANOFI,3410.2,6946.47,-1.81,67 ka Funda,Super 45,7853.9
RAJESHEXPO,107.49,389.4,-44.79,67 ka Funda,Good 45,3173.75
MANYAVAR,406.6,997.92,-18.51,67 ka Funda,Good 45,9879.46
TCIEXP,528,1092.3,-3.32,67 ka Funda,Good 45,2028.52
NEWGEN,470.9,1187.27,-20.68,67 ka Funda,Good 200,6647.2
ROUTE,533.15,1282.02,-16.83,67 ka Funda,Good 200,3359.01
SHARDAMOTR,825.75,1948.39,-15.24,67 ka Funda,Good 200,4740.44
JSLL,585.3,1649.08,-29.01,67 ka Funda,NSE 500,7275.32
ECOSMOBLTY,132.76,391.84,-32.24,67 ka Funda,NSE 500,796.56
QUESS,251.05,577.5,-13.06,67 ka Funda,NSE 500,3749.68
SKFINDIA,1657.4,4851,-31.67,67 ka Funda,NSE 500,8193.85
RKSWAMY,95.71,211.66,-9.56,67 ka Funda,NSE 500,483.12
BAJAJELEC,323.2,824.58,-21.61,67 ka Funda,NSE 500,3729.49
ENIL,108.34,236.81,-8.5,67 ka Funda,NSE 500,516.46
QUICKHEAL,176.55,544.5,-35.15,67 ka Funda,NSE 500,957.75
BAYERCROP,4195.2,6316.53,-16.98,CUP Pattern,Good 45,18854.11
DIXON,11932,18331,-18.64,CUP Pattern,Super 45,72548.82
DYCL,361.45,454.45,-0.58,CUP Pattern,Good 45,1751.54
KAYNES,3216.9,7593,-47.04,CUP Pattern,Super 45,21564.38
LTM,3768.4,5965.81,-21.04,CUP Pattern,Good 45,111718.45
SUPREMEIND,3540.4,4624.42,-4.3,CUP Pattern,Good 45,44992.04
VIPIND,311.95,482.95,-19.26,CUP Pattern,Good 45,4431.31
BAYERCROP,4195.2,6485.3,-2.19,S&R,Good 45,18854.11
BLS,262.3,423.47,-1.22,S&R,Good 200,10794.23
BLUEJET,514.7,960.45,-24.28,S&R,Good 200,8928.27
CYIENTDLM,469.7,870.67,-19.98,S&R,Good 45,3727.75
DIXON,11932,18581.1,-1.59,S&R,Super 45,72548.82
KAYNES,3216.9,7697.82,-15.59,S&R,Super 45,21564.38
LTM,3768.4,6421.44,-17.07,S&R,Good 45,111718.45
NEWGEN,470.9,1366.2,-38.36,S&R,Good 200,6647.2
POLYMED,1650,2965.86,-15.12,S&R,Good 200,16744.12
SYMPHONY,692.55,1342.45,-27.42,S&R,Good 45,4755.84
