Super Strategy Results,as on,19.06.2026,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Stock,ListGroup,RunStartDate,RunEndDate,NumCandles,EntryPrice,ExitPrice,GainPct,CurrentPrice,Target,% Down from Buy,Signal,Market Cap (Cr)
GILLETTE,Super45,28-Oct-2024,31-Oct-2024,4,7830.88,9719.61,24.12,7828.5,9719.61,-0.03,BUY,25509.34
GRAVITA,Good200,09-Aug-2024,19-Aug-2024,6,1783.29,2535.52,42.18,1721.6,2535.52,-3.46,BUY,12539.6
GRAVITA,Good200,12-Sep-2024,17-Sep-2024,4,2242.5,2691,20,1721.6,2691,-23.23,BUY,12539.6
GULFOILLUB,Good200,07-Aug-2024,13-Aug-2024,5,1008.41,1291.75,28.1,1026.8,1291.75,1.82,NEAR BUY,5084.38
HAVELLS,Super45,07-Apr-2025,22-Apr-2025,9,1373.11,1654.06,20.46,1176.3,1654.06,-14.33,BUY,73784.22
IKS,Good200,17-Feb-2025,25-Feb-2025,7,1605.25,1929,20.17,1675.2,1929,4.36,NEAR BUY,28101.22
INDIGOPNTS,Good45,10-Nov-2025,18-Nov-2025,7,1006,1345.9,33.79,1025.15,1345.9,1.9,NEAR BUY,4887.47
JINDRILL,Good200,18-May-2026,20-May-2026,3,576.5,693.5,20.29,580.2,693.5,0.64,NEAR BUY,1681.48
JINDRILL,Good200,28-Oct-2024,07-Nov-2024,9,569.16,777.72,36.64,580.2,777.72,1.94,NEAR BUY,1681.48
JSWDULUX,Super45,08-Oct-2024,09-Oct-2024,2,3440.97,4332.09,25.9,3291.8,4332.09,-4.34,BUY,14990.96
JSWDULUX,Super45,30-Oct-2024,01-Nov-2024,3,3485.1,4355.38,24.97,3291.8,4355.38,-5.55,BUY,14990.96
JUSTDIAL,Good200,08-Oct-2024,11-Oct-2024,4,1127.3,1395,23.75,539.9,1395,-52.11,BUY,4591.8
JUSTDIAL,Good200,18-Feb-2025,20-Feb-2025,3,756.05,912,20.63,539.9,912,-28.59,BUY,4591.8
KAYNES,Super45,07-Apr-2025,16-Apr-2025,6,3900,5844,49.85,3253.1,5844,-16.59,BUY,21807.05
KAYNES,Super45,12-Aug-2024,19-Aug-2024,5,4200.75,5330,26.88,3253.1,5330,-22.56,BUY,21807.05
KAYNES,Super45,22-Jul-2024,29-Jul-2024,6,3816,4729,23.93,3253.1,4729,-14.75,BUY,21807.05
KAYNES,Super45,29-Jul-2025,01-Aug-2025,4,5405,6488,20.04,3253.1,6488,-39.81,BUY,21807.05
KFINTECH,Good200,16-Apr-2025,22-Apr-2025,4,1003.58,1286.39,28.18,915.35,1286.39,-8.79,BUY,15819.78
